job,agent,model,dataset,task,trial_dir,reward,status
2026-02-16__21-34-19,claude-code,,mvp_dataset,question-1,question-1__dKEK9GL,1.0,pass
2026-02-16__21-34-19,claude-code,,mvp_dataset,question-2,question-2__df28atF,1.0,pass
2026-02-17__10-21-39,claude-code,,mvp_pgx,question-1,question-1__V27dLpy,,error
2026-02-17__10-21-39,claude-code,,mvp_pgx,question-2,question-2__hYK6L8M,,error
2026-02-17__10-22-16,claude-code,,mvp_pgx,question-1,question-1__fdbQcnZ,,error
2026-02-17__10-22-16,claude-code,,mvp_pgx,question-2,question-2__nwu4meV,,error
2026-02-17__10-24-05,claude-code,,mvp_pgx,question-1,question-1__cD2ZCgZ,1.0,pass
2026-02-17__10-24-05,claude-code,,mvp_pgx,question-2,question-2__nJ4gf9v,1.0,pass
2026-02-17__11-13-38,claude-code,,mvp_pgx,question-1,question-1__g8q3c9S,1.0,pass
2026-02-17__11-13-38,claude-code,,mvp_pgx,question-2,question-2__Xbhv2fR,1.0,pass
2026-02-17__11-32-30,claude-code,,pgx_drug_qa,PMC10038974,PMC10038974__aTwj4VM,,error
2026-02-17__11-32-30,claude-code,,pgx_drug_qa,PMC10049548,PMC10049548__HbSXxvw,,error
2026-02-17__11-32-30,claude-code,,pgx_drug_qa,PMC10145266,PMC10145266__d7nA3Lm,,error
2026-02-17__11-32-30,claude-code,,pgx_drug_qa,PMC10163902,PMC10163902__TuMWTX3,,error
2026-02-17__11-32-30,claude-code,,pgx_drug_qa,PMC10179231,PMC10179231__AC6WCBQ,,error
2026-02-17__11-32-30,claude-code,,pgx_drug_qa,PMC10244018,PMC10244018__yZpUtFn,,error
2026-02-17__11-32-30,claude-code,,pgx_drug_qa,PMC10288459,PMC10288459__zZ2LmTh,,error
2026-02-17__11-32-30,claude-code,,pgx_drug_qa,PMC10298094,PMC10298094__qdY8ihc,,error
2026-02-17__11-32-30,claude-code,,pgx_drug_qa,PMC10298263,PMC10298263__wiavYHd,,error
2026-02-17__11-32-30,claude-code,,pgx_drug_qa,PMC10318569,PMC10318569__8HW5DJc,,error
2026-02-17__11-32-30,claude-code,,pgx_drug_qa,PMC10404721,PMC10404721__KN5krHp,,error
2026-02-17__11-32-30,claude-code,,pgx_drug_qa,PMC10463210,PMC10463210__JTPKFQg,,error
2026-02-17__11-32-30,claude-code,,pgx_drug_qa,PMC10483403,PMC10483403__kVzfjJf,,error
2026-02-17__11-32-30,claude-code,,pgx_drug_qa,PMC10506908,PMC10506908__keoYDfD,,error
2026-02-17__11-32-30,claude-code,,pgx_drug_qa,PMC1051117,PMC1051117__PckTFSr,,error
2026-02-17__11-32-30,claude-code,,pgx_drug_qa,PMC10520058,PMC10520058__9h9eH7t,,error
2026-02-17__11-32-30,claude-code,,pgx_drug_qa,PMC10532907,PMC10532907__ZyuRZSN,,error
2026-02-17__11-32-30,claude-code,,pgx_drug_qa,PMC10541540,PMC10541540__QXQgUdP,,error
2026-02-17__11-32-30,claude-code,,pgx_drug_qa,PMC10550831,PMC10550831__kwob9GF,,error
2026-02-17__11-34-02,claude-code,,pgx_drug_qa,pmc10038974,pmc10038974__4Myo8aJ,,error
2026-02-17__11-34-02,claude-code,,pgx_drug_qa,pmc10049548,pmc10049548__jMyNxKv,,error
2026-02-17__11-34-02,claude-code,,pgx_drug_qa,pmc10145266,pmc10145266__bsHQd2g,,error
2026-02-17__11-34-02,claude-code,,pgx_drug_qa,pmc10163902,pmc10163902__5JELMNG,,error
2026-02-17__11-34-02,claude-code,,pgx_drug_qa,pmc10179231,pmc10179231__UMvx7nd,,error
2026-02-17__11-34-02,claude-code,,pgx_drug_qa,pmc10288459,pmc10288459__nyAw9Mc,,error
2026-02-17__11-34-02,claude-code,,pgx_drug_qa,pmc10298094,pmc10298094__Y6a9cVQ,,error
2026-02-17__11-34-02,claude-code,,pgx_drug_qa,pmc10298263,pmc10298263__g95Ffov,,error
2026-02-17__11-34-02,claude-code,,pgx_drug_qa,pmc10318569,pmc10318569__QzHzxsB,,error
2026-02-17__11-34-02,claude-code,,pgx_drug_qa,pmc10404721,pmc10404721__xTh82RG,,error
2026-02-17__11-34-02,claude-code,,pgx_drug_qa,pmc10463210,pmc10463210__MKKNbZz,,error
2026-02-17__11-34-02,claude-code,,pgx_drug_qa,pmc10483403,pmc10483403__S9hscWh,,error
2026-02-17__11-34-02,claude-code,,pgx_drug_qa,pmc10506908,pmc10506908__CTBe6oB,,error
2026-02-17__11-34-02,claude-code,,pgx_drug_qa,pmc1051117,pmc1051117__8sjvG37,,error
2026-02-17__11-34-02,claude-code,,pgx_drug_qa,pmc10520058,pmc10520058__WecDYtJ,,error
2026-02-17__11-34-02,claude-code,,pgx_drug_qa,pmc10532907,pmc10532907__2bivgpi,,error
2026-02-17__12-04-08,claude-code,,pgx_drug_qa,pmc10145266,pmc10145266__dCBmGXx,1.0,pass
2026-02-17__12-04-08,claude-code,,pgx_drug_qa,pmc10163902,pmc10163902__TZMSfMf,1.0,pass
2026-02-17__12-04-08,claude-code,,pgx_drug_qa,pmc10404721,pmc10404721__c7K6Fgb,1.0,pass
2026-02-17__12-14-00,claude-code,,pgx_drug_qa,pmc10038974,pmc10038974__7Edi6Ax,1.0,pass
2026-02-17__12-14-00,claude-code,,pgx_drug_qa,pmc10049548,pmc10049548__GiBGYpu,1.0,pass
2026-02-17__12-14-00,claude-code,,pgx_drug_qa,pmc10145266,pmc10145266__Ko2ARvB,1.0,pass
2026-02-17__12-14-00,claude-code,,pgx_drug_qa,pmc10163902,pmc10163902__oSExnnY,1.0,pass
2026-02-17__12-14-00,claude-code,,pgx_drug_qa,pmc10179231,pmc10179231__Ph9Gccy,1.0,pass
2026-02-17__12-14-00,claude-code,,pgx_drug_qa,pmc10244018,pmc10244018__SoMSvtR,1.0,pass
2026-02-17__12-14-00,claude-code,,pgx_drug_qa,pmc10288459,pmc10288459__62UJvWL,1.0,pass
2026-02-17__12-14-00,claude-code,,pgx_drug_qa,pmc10298094,pmc10298094__EuAWcWm,1.0,pass
2026-02-17__12-14-00,claude-code,,pgx_drug_qa,pmc10298263,pmc10298263__pkHRXmn,1.0,pass
2026-02-17__12-14-00,claude-code,,pgx_drug_qa,pmc10318569,pmc10318569__wZCE4v2,0.0,fail
2026-02-17__12-14-00,claude-code,,pgx_drug_qa,pmc10404721,pmc10404721__xyERanv,1.0,pass
2026-02-17__12-14-00,claude-code,,pgx_drug_qa,pmc10463210,pmc10463210__WX5QmG9,1.0,pass
2026-02-17__12-14-00,claude-code,,pgx_drug_qa,pmc10483403,pmc10483403__65e82Aq,1.0,pass
2026-02-17__12-14-00,claude-code,,pgx_drug_qa,pmc10487921,pmc10487921__NDnWSEY,1.0,pass
2026-02-17__12-14-00,claude-code,,pgx_drug_qa,pmc10506908,pmc10506908__8aiPdHg,1.0,pass
2026-02-17__12-14-00,claude-code,,pgx_drug_qa,pmc1051117,pmc1051117__YJoXeXm,1.0,pass
2026-02-17__12-14-00,claude-code,,pgx_drug_qa,pmc10520058,pmc10520058__aR4bBAM,1.0,pass
2026-02-17__12-14-00,claude-code,,pgx_drug_qa,pmc10532907,pmc10532907__o3xpBtS,1.0,pass
2026-02-17__12-14-00,claude-code,,pgx_drug_qa,pmc10541540,pmc10541540__u3YQ89x,0.0,fail
2026-02-17__12-14-00,claude-code,,pgx_drug_qa,pmc10550831,pmc10550831__8gg69sG,1.0,pass
2026-02-17__13-53-26,codex,,pgx_drug_qa,pmc10532907,pmc10532907__miMHXww,,error
2026-02-17__15-02-02,codex,,pgx_drug_qa,pmc10038974,pmc10038974__jwm7468,,error
2026-02-17__15-02-02,codex,,pgx_drug_qa,pmc10049548,pmc10049548__AJ8soPM,,error
2026-02-17__15-02-02,codex,,pgx_drug_qa,pmc10145266,pmc10145266__GGK77kZ,,error
2026-02-17__15-02-02,codex,,pgx_drug_qa,pmc10163902,pmc10163902__k2uWncJ,,error
2026-02-17__15-02-02,codex,,pgx_drug_qa,pmc10404721,pmc10404721__2MYpvbP,,error
2026-02-17__15-02-02,codex,,pgx_drug_qa,pmc1051117,pmc1051117__nJiLnga,,error
2026-02-17__15-02-02,codex,,pgx_drug_qa,pmc10520058,pmc10520058__XxDmQLs,,error
2026-02-17__15-02-02,codex,,pgx_drug_qa,pmc10532907,pmc10532907__jSqBJSb,,error
2026-02-17__15-05-33,codex,o3-mini,pgx_drug_qa,pmc10404721,pmc10404721__m9tr3QQ,0.0,fail
2026-02-17__21-20-46,claude-code,,summary_qa,pmc1401654_nat2_4_nat2_5_nat2_6_nat2_7_nat2_16_summary,pmc1401654_nat2_4_nat2_5_nat2_6___xgPaAs9,1.0,pass
2026-02-17__21-35-09,claude-code,,summary_qa,pmc1401654_nat2_4_nat2_5_nat2_6_nat2_7_nat2_16_summary,pmc1401654_nat2_4_nat2_5_nat2_6___KUhLg9c,0.6666666666666666,partial
2026-02-17__21-35-09,claude-code,,summary_qa,pmc2291379_cyp2d6_1_cyp2d6_1xn_cyp2d6_2_cyp2d6_3_cyp2d6_4_cyp2d6_5_cyp2d6_6_cyp2d6_10_cyp2d6_41_summary,pmc2291379_cyp2d6_1_cyp2d6_1xn_c__m7DvN2D,0.6666666666666666,partial
2026-02-17__21-35-09,claude-code,,summary_qa,pmc2291379_cyp2d6_1_cyp2d6_3_cyp2d6_4_cyp2d6_5_cyp2d6_6_summary,pmc2291379_cyp2d6_1_cyp2d6_3_cyp__tqUA7NY,0.3333333333333333,partial
2026-02-17__21-35-09,claude-code,,summary_qa,pmc4405819_cyp2b6_1_cyp2b6_2_cyp2b6_6_cyp2b6_18_cyp2b6_38_summary,pmc4405819_cyp2b6_1_cyp2b6_2_cyp__JpCZPoc,0.3333333333333333,partial
2026-02-17__21-35-09,claude-code,,summary_qa,pmc554812_hla_b_58_01_summary,pmc554812_hla_b_58_01_summary__ShFjtnE,0.6666666666666666,partial
2026-02-17__23-14-47,claude-code,,summary_qa,pmc1401654_nat2_4_nat2_5_nat2_6_nat2_7_nat2_16_summary,pmc1401654_nat2_4_nat2_5_nat2_6___xQLPCeB,0.6666666666666666,partial
2026-02-17__23-25-36,claude-code,,summary_qa,pmc11401437_rs186089140_summary,pmc11401437_rs186089140_summary__ymQzfbk,1.0,pass
2026-02-17__23-25-36,claude-code,,summary_qa,pmc11672886_rs80224560_summary,pmc11672886_rs80224560_summary__yk4kHve,1.0,pass
2026-02-17__23-25-36,claude-code,,summary_qa,pmc1365132_cyp2d6_1_cyp2d6_3_cyp2d6_4_cyp2d6_5_summary,pmc1365132_cyp2d6_1_cyp2d6_3_cyp__ch2ksX9,0.3333333333333333,partial
2026-02-17__23-25-36,claude-code,,summary_qa,pmc1401654_nat2_4_nat2_5_nat2_6_nat2_7_nat2_16_summary,pmc1401654_nat2_4_nat2_5_nat2_6___hezAbZp,,error
2026-02-17__23-25-36,claude-code,,summary_qa,pmc1856436_tpmt_1_tpmt_2_tpmt_3a_tpmt_3b_tpmt_3c_tpmt_6_summary,pmc1856436_tpmt_1_tpmt_2_tpmt_3a__ENVWAh3,0.0,fail
2026-02-17__23-25-36,claude-code,,summary_qa,pmc1856436_tpmt_1_tpmt_2_tpmt_3a_tpmt_3b_tpmt_3c_tpmt_4_tpmt_6_tpmt_9_tpmt_12_summary,pmc1856436_tpmt_1_tpmt_2_tpmt_3a__cR6fRPW,1.0,pass
2026-02-17__23-25-36,claude-code,,summary_qa,pmc1873971_cyp2c19_1_cyp2c19_2_cyp2c19_3_cyp2c19_8_cyp2c19_9_cyp2c19_17_summary,pmc1873971_cyp2c19_1_cyp2c19_2_c__84SNBHZ,0.6666666666666666,partial
2026-02-17__23-25-36,claude-code,,summary_qa,pmc1873971_cyp2c19_1_cyp2c19_2_cyp2c19_3_cyp2c19_17_summary,pmc1873971_cyp2c19_1_cyp2c19_2_c__XqonP8y,0.6666666666666666,partial
2026-02-17__23-25-36,claude-code,,summary_qa,pmc1884377_cyp2c19_1_cyp2c19_2_cyp2c19_3_cyp2c19_17_summary,pmc1884377_cyp2c19_1_cyp2c19_2_c__HCqirfy,0.6666666666666666,partial
2026-02-17__23-25-36,claude-code,,summary_qa,pmc1884506_cyp2d6_1_cyp2d6_1xn_cyp2d6_3_cyp2d6_4_cyp2d6_5_cyp2d6_6_cyp2d6_10_cyp2d6_14_summary,pmc1884506_cyp2d6_1_cyp2d6_1xn_c__SEDSux9,0.0,fail
2026-02-17__23-25-36,claude-code,,summary_qa,pmc1885048_cyp2d6_1_cyp2d6_1xn_cyp2d6_2_cyp2d6_2xn_cyp2d6_3_cyp2d6_4_cyp2d6_5_cyp2d6_9_cyp2d6_10_cyp2d6_14_cyp2d6_41_summary,pmc1885048_cyp2d6_1_cyp2d6_1xn_c__EpgSvHs,0.0,fail
2026-02-17__23-25-36,claude-code,,summary_qa,pmc2014334_cyp2c9_1_cyp2c9_2_cyp2c9_3_cyp2c9_5_cyp2c9_6_cyp2c9_8_cyp2c9_11_cyp2c9_13_cyp2c9_14_cyp2c9_16_cyp2c9_29_cyp2c9_31_cyp2c9_33_cyp2c9_37_cyp2c9_39_cyp2c9_42_cyp2c9_43_cyp2c9_45_cyp2c9_50_cyp2c9_52_cyp2c9_55_summary,pmc2014334_cyp2c9_1_cyp2c9_2_cyp__6fRCcmc,0.0,fail
2026-02-17__23-25-36,claude-code,,summary_qa,pmc2014902_cyp2c19_1_cyp2c19_2_cyp2c19_3_cyp2c19_9_cyp2c19_10_cyp2c19_17_cyp2c19_24_cyp2c19_26_summary,pmc2014902_cyp2c19_1_cyp2c19_2_c__nub4w5v,1.0,pass
2026-02-17__23-25-36,claude-code,,summary_qa,pmc2048549_cyp2d6_1_cyp2d6_4_cyp2d6_4xn_cyp2d6_5_cyp2d6_10_cyp2d6_17_cyp2d6_92_cyp2d6_96_summary,pmc2048549_cyp2d6_1_cyp2d6_4_cyp__HHweTRG,0.6666666666666666,partial
2026-02-17__23-25-36,claude-code,,summary_qa,pmc2291274_cyp2d6_1_cyp2d6_1xn_cyp2d6_2_cyp2d6_3_cyp2d6_4_cyp2d6_5_cyp2d6_6_cyp2d6_10_cyp2d6_41_summary,pmc2291274_cyp2d6_1_cyp2d6_1xn_c__oAFiM35,0.6666666666666666,partial
2026-02-17__23-25-36,claude-code,,summary_qa,pmc2291379_cyp2d6_1_cyp2d6_1xn_cyp2d6_2xn_cyp2d6_3_cyp2d6_4_cyp2d6_5_cyp2d6_9_cyp2d6_10_cyp2d6_35_cyp2d6_35xn_cyp2d6_41_summary,pmc2291379_cyp2d6_1_cyp2d6_1xn_c__BBwCkov,1.0,pass
2026-02-17__23-25-36,claude-code,,summary_qa,pmc2291379_cyp2d6_1_cyp2d6_1xn_cyp2d6_2xn_cyp2d6_4_cyp2d6_5_summary,pmc2291379_cyp2d6_1_cyp2d6_1xn_c__QJJRnbR,0.0,fail
2026-02-17__23-25-36,claude-code,,summary_qa,pmc2291379_cyp2d6_1_cyp2d6_1xn_cyp2d6_2_cyp2d6_3_cyp2d6_4_cyp2d6_5_cyp2d6_6_cyp2d6_10_cyp2d6_41_summary,pmc2291379_cyp2d6_1_cyp2d6_1xn_c__gQ9iVwe,1.0,pass
2026-02-17__23-25-36,claude-code,,summary_qa,pmc2291379_cyp2d6_1_cyp2d6_3_cyp2d6_4_cyp2d6_5_cyp2d6_6_summary,pmc2291379_cyp2d6_1_cyp2d6_3_cyp__8ZqrurX,0.6666666666666666,partial
2026-02-17__23-25-36,claude-code,,summary_qa,pmc2291379_cyp2d6_1_cyp2d6_3_cyp2d6_4_cyp2d6_5_cyp2d6_6_summary_1451265448,pmc2291379_cyp2d6_1_cyp2d6_3_cyp__S3QWvyy,0.6666666666666666,partial
2026-02-17__23-25-36,claude-code,,summary_qa,pmc2360725_rs121434568_summary,pmc2360725_rs121434568_summary__5HCHCJh,0.0,fail
2026-02-17__23-25-36,claude-code,,summary_qa,pmc2432487_cyp2c19_1_cyp2c19_2_cyp2c19_3_summary,pmc2432487_cyp2c19_1_cyp2c19_2_c__DTchCqK,0.6666666666666666,partial
2026-02-17__23-25-36,claude-code,,summary_qa,pmc2432487_cyp2c19_1_cyp2c19_2_cyp2c19_3_summary_1183629796,pmc2432487_cyp2c19_1_cyp2c19_2_c__zZp8GMq,0.6666666666666666,partial
2026-02-17__23-25-36,claude-code,,summary_qa,pmc2602733_rs3918290_summary_1451274984,pmc2602733_rs3918290_summary_145__M4yLYvV,0.6666666666666666,partial
2026-02-17__23-25-36,claude-code,,summary_qa,pmc2602733_rs3918290_summary,pmc2602733_rs3918290_summary__z4eMGc7,0.0,error
2026-02-17__23-25-36,claude-code,,summary_qa,pmc2816343_cyp2d6_1_cyp2d6_1xn_cyp2d6_2_cyp2d6_2xn_cyp2d6_3_cyp2d6_4_cyp2d6_5_cyp2d6_6_cyp2d6_10_cyp2d6_17_summary,pmc2816343_cyp2d6_1_cyp2d6_1xn_c__wvcnfk6,0.0,fail
2026-02-17__23-25-36,claude-code,,summary_qa,pmc2824234_cyp2d6_1_cyp2d6_3_cyp2d6_4_cyp2d6_5_cyp2d6_6_cyp2d6_10_summary,pmc2824234_cyp2d6_1_cyp2d6_3_cyp__VVnhxWb,0.6666666666666666,partial
2026-02-17__23-25-36,claude-code,,summary_qa,pmc2859392_rs3745274_summary,pmc2859392_rs3745274_summary__4Ec7vr5,0.6666666666666666,partial
2026-02-17__23-25-36,claude-code,,summary_qa,pmc2955237_rs56038477_summary,pmc2955237_rs56038477_summary__WpHwhcD,0.6666666666666666,partial
2026-02-17__23-25-36,claude-code,,summary_qa,pmc3061841_cyp2c19_1_cyp2c19_2_cyp2c19_3_cyp2c19_17_summary,pmc3061841_cyp2c19_1_cyp2c19_2_c__kcEFWvP,0.6666666666666666,partial
2026-02-17__23-25-36,claude-code,,summary_qa,pmc3090085_cyp2c19_1_cyp2c19_2_cyp2c19_3_cyp2c19_4_summary,pmc3090085_cyp2c19_1_cyp2c19_2_c__YEhyKte,0.6666666666666666,partial
2026-02-17__23-25-36,claude-code,,summary_qa,pmc3148255_rs75527207_summary,pmc3148255_rs75527207_summary__ZW73XPA,1.0,pass
2026-02-17__23-25-36,claude-code,,summary_qa,pmc3291838_rs9923231_summary,pmc3291838_rs9923231_summary__F2xN9DH,0.6666666666666666,partial
2026-02-17__23-25-36,claude-code,,summary_qa,pmc3330749_cyp2c9_1_cyp2c9_2_cyp2c9_3_cyp2c9_5_cyp2c9_6_cyp2c9_11_summary,pmc3330749_cyp2c9_1_cyp2c9_2_cyp__LaQ9F4A,0.6666666666666666,partial
2026-02-17__23-25-36,claude-code,,summary_qa,pmc3461592_rs2108622_summary,pmc3461592_rs2108622_summary__DkMhnBj,0.6666666666666666,partial
2026-02-17__23-25-36,claude-code,,summary_qa,pmc3522814_cyp2b6_1_cyp2b6_4_cyp2b6_6_cyp2b6_9_cyp2b6_18_cyp2b6_28_summary,pmc3522814_cyp2b6_1_cyp2b6_4_cyp__jhhS5Cy,1.0,pass
2026-02-17__23-25-36,claude-code,,summary_qa,pmc3571021_cyp2c19_1_cyp2c19_2_cyp2c19_3_cyp2c19_17_summary,pmc3571021_cyp2c19_1_cyp2c19_2_c__iTu2ZFm,0.3333333333333333,partial
2026-02-17__23-25-36,claude-code,,summary_qa,pmc3579268_cyp2d6_1_cyp2d6_3_cyp2d6_4_cyp2d6_4xn_cyp2d6_5_cyp2d6_6_summary,pmc3579268_cyp2d6_1_cyp2d6_3_cyp__RcSm2gL,0.6666666666666666,partial
2026-02-17__23-25-36,claude-code,,summary_qa,pmc3579501_cyp3a5_1_cyp3a5_3_cyp3a5_6_cyp3a5_7_summary,pmc3579501_cyp3a5_1_cyp3a5_3_cyp__3iHsjaL,0.6666666666666666,partial
2026-02-17__23-25-36,claude-code,,summary_qa,pmc3579501_cyp3a5_1_cyp3a5_3_cyp3a5_6_cyp3a5_7_summary_981203719,pmc3579501_cyp3a5_1_cyp3a5_3_cyp__bve8B5Z,0.6666666666666666,partial
2026-02-17__23-25-36,claude-code,,summary_qa,pmc3657889_rs9923231_summary,pmc3657889_rs9923231_summary__o8qN8bH,0.0,fail
2026-02-17__23-25-36,claude-code,,summary_qa,pmc3674704_rs12979860_summary,pmc3674704_rs12979860_summary__6pLJq52,1.0,pass
2026-02-17__23-25-36,claude-code,,summary_qa,pmc3694243_rs75017182_summary_1184986174,pmc3694243_rs75017182_summary_11__5gY3WZu,0.3333333333333333,partial
2026-02-17__23-25-36,claude-code,,summary_qa,pmc3694243_rs75017182_summary,pmc3694243_rs75017182_summary__9DS8Sec,0.0,fail
2026-02-17__23-25-36,claude-code,,summary_qa,pmc3773276_cyp2c19_1_cyp2c19_2_cyp2c19_3_cyp2c19_8_cyp2c19_10_cyp2c19_17_cyp2c19_19_cyp2c19_25_cyp2c19_26_summary,pmc3773276_cyp2c19_1_cyp2c19_2_c__Gaoiz7J,0.0,fail
2026-02-17__23-25-36,claude-code,,summary_qa,pmc3775655_cyp2d6_1_cyp2d6_1xn_cyp2d6_2_cyp2d6_2xn_cyp2d6_3_cyp2d6_4_cyp2d6_5_cyp2d6_6_cyp2d6_10_cyp2d6_17_cyp2d6_29_cyp2d6_36_cyp2d6_41_summary,pmc3775655_cyp2d6_1_cyp2d6_1xn_c__MjABkTH,1.0,pass
2026-02-17__23-25-36,claude-code,,summary_qa,pmc3805522_rs56038477_summary,pmc3805522_rs56038477_summary__v4S3Wij,0.3333333333333333,partial
2026-02-17__23-25-36,claude-code,,summary_qa,pmc3805522_rs67376798_summary,pmc3805522_rs67376798_summary__aKhpXeu,0.0,fail
2026-02-17__23-25-36,claude-code,,summary_qa,pmc3821392_rs55886062_summary,pmc3821392_rs55886062_summary__n2JCM82,1.0,pass
2026-02-17__23-25-36,claude-code,,summary_qa,pmc3821392_rs67376798_summary,pmc3821392_rs67376798_summary__YA5Aequ,1.0,pass
2026-02-17__23-25-36,claude-code,,summary_qa,pmc3839910_hla_a_31_01_summary,pmc3839910_hla_a_31_01_summary__p4knTjH,1.0,pass
2026-02-17__23-25-36,claude-code,,summary_qa,pmc3839910_hla_b_15_02_hla_b_15_11_summary,pmc3839910_hla_b_15_02_hla_b_15___rmpsgcx,0.6666666666666666,partial
2026-02-17__23-25-36,claude-code,,summary_qa,pmc384715_hla_b_57_01_summary,pmc384715_hla_b_57_01_summary__Gn8Biig,0.6666666666666666,partial
2026-02-17__23-25-36,claude-code,,summary_qa,pmc4043918_rs9923231_summary,pmc4043918_rs9923231_summary__xie2dBY,1.0,pass
2026-02-17__23-25-36,claude-code,,summary_qa,pmc4059003_ugt1a1_1_ugt1a1_6_ugt1a1_28_ugt1a1_36_ugt1a1_37_summary,pmc4059003_ugt1a1_1_ugt1a1_6_ugt__wdNZD36,0.0,fail
2026-02-17__23-25-36,claude-code,,summary_qa,pmc4271081_rs55886062_summary,pmc4271081_rs55886062_summary__EbUzocG,0.3333333333333333,partial
2026-02-17__23-25-36,claude-code,,summary_qa,pmc4308646_cyp2d6_1_cyp2d6_2_cyp2d6_3_cyp2d6_4_cyp2d6_5_cyp2d6_6_cyp2d6_7_cyp2d6_9_cyp2d6_10_cyp2d6_10x2_cyp2d6_11_cyp2d6_17_cyp2d6_21_cyp2d6_36_cyp2d6_41_summary,pmc4308646_cyp2d6_1_cyp2d6_2_cyp__MfajvRG,1.0,pass
2026-02-17__23-25-36,claude-code,,summary_qa,pmc4375304_rs116855232_summary,pmc4375304_rs116855232_summary__25hFmpv,0.6666666666666666,partial
2026-02-17__23-25-36,claude-code,,summary_qa,pmc4405819_cyp2b6_1_cyp2b6_2_cyp2b6_6_cyp2b6_18_cyp2b6_38_summary,pmc4405819_cyp2b6_1_cyp2b6_2_cyp__tstYG4v,,error
